user_id,video_id,category,length_sec,watch_time_sec,liked,shared,commented,follow_creator,group,date,engagement,engaged
7271,1947,dance,41,29,1,0,0,0,variant,2025-07-26 11:00:15.195387,1,1
861,621,music,41,23,0,0,1,0,variant,2025-08-02 11:00:15.195387,1,1
5391,677,gaming,52,36,1,0,0,0,control,2025-08-04 11:00:15.195387,1,1
5192,370,music,23,17,0,1,0,0,variant,2025-08-05 11:00:15.195387,1,1
5735,771,fashion,57,41,1,0,0,0,variant,2025-07-16 11:00:15.195387,1,1
6266,588,dance,58,40,0,0,0,0,control,2025-08-11 11:00:15.195387,0,0
467,7,food,36,21,0,0,0,0,control,2025-08-04 11:00:15.195387,0,0
4427,698,sports,54,32,1,0,0,0,control,2025-07-30 11:00:15.195387,1,1
5579,1300,music,41,31,0,0,0,0,variant,2025-07-18 11:00:15.195387,0,0
8323,1615,food,43,33,1,1,1,0,control,2025-07-25 11:00:15.195387,3,1
1686,65,comedy,16,15,1,1,0,0,control,2025-08-05 11:00:15.195387,2,1
770,1651,sports,19,13,0,0,0,1,variant,2025-07-21 11:00:15.195387,0,0
6950,202,sports,60,43,1,0,1,0,variant,2025-08-04 11:00:15.195387,2,1
2434,142,gaming,19,16,0,0,0,0,control,2025-08-09 11:00:15.195387,0,0
5312,1999,comedy,24,15,0,0,0,0,variant,2025-07-17 11:00:15.195387,0,0
5052,1122,food,10,2,0,0,0,0,variant,2025-08-04 11:00:15.195387,0,0
6421,817,music,23,14,1,0,0,0,control,2025-08-06 11:00:15.195387,1,1
1185,217,fashion,57,43,1,0,0,0,variant,2025-08-02 11:00:15.195387,1,1
4556,991,music,33,28,1,0,0,1,control,2025-07-17 11:00:15.195387,1,1
3386,1610,comedy,58,38,1,0,0,0,control,2025-08-07 11:00:15.195387,1,1
6397,1317,sports,31,22,0,0,1,0,variant,2025-07-19 11:00:15.195387,1,1
8667,1532,music,39,27,1,1,0,0,variant,2025-07-21 11:00:15.195387,2,1
9275,1158,music,37,28,1,0,0,0,variant,2025-08-04 11:00:15.195387,1,1
2559,262,music,50,29,1,0,0,0,control,2025-07-18 11:00:15.195387,1,1
7850,284,dance,23,15,0,0,0,0,control,2025-07-18 11:00:15.195387,0,0
2048,102,comedy,44,30,1,0,0,0,control,2025-07-28 11:00:15.195387,1,1
2748,377,dance,40,26,1,0,0,0,variant,2025-07-22 11:00:15.195387,1,1
9168,206,dance,9,8,0,0,0,0,variant,2025-08-02 11:00:15.195387,0,0
9999,1677,gaming,24,16,1,0,0,0,control,2025-07-18 11:00:15.195387,1,1
190,1037,music,38,27,0,0,0,0,control,2025-07-29 11:00:15.195387,0,0
2735,761,dance,52,34,0,0,0,0,control,2025-07-30 11:00:15.195387,0,0
3006,1147,comedy,11,5,1,0,0,0,control,2025-07-30 11:00:15.195387,1,1
4659,10,gaming,38,24,0,0,0,0,control,2025-08-01 11:00:15.195387,0,0
1900,1616,gaming,59,39,1,0,0,0,variant,2025-08-08 11:00:15.195387,1,1
7735,1191,food,32,18,0,1,0,0,control,2025-07-31 11:00:15.195387,1,1
1268,1635,fashion,43,30,1,0,0,0,control,2025-07-22 11:00:15.195387,1,1
1529,1743,sports,50,36,1,0,0,0,variant,2025-08-02 11:00:15.195387,1,1
3557,151,sports,26,19,1,1,0,0,control,2025-08-10 11:00:15.195387,2,1
3891,1061,gaming,45,31,1,0,0,0,variant,2025-07-31 11:00:15.195387,1,1
8839,1913,comedy,54,36,1,1,0,0,control,2025-08-05 11:00:15.195387,2,1
5394,776,dance,60,43,1,0,0,0,control,2025-07-16 11:00:15.195387,1,1
8793,1498,sports,44,29,1,0,1,0,control,2025-07-31 11:00:15.195387,2,1
8434,1468,dance,57,39,1,0,0,0,variant,2025-07-20 11:00:15.195387,1,1
7514,1366,fashion,42,31,1,0,0,0,control,2025-08-07 11:00:15.195387,1,1
2613,1029,comedy,45,32,1,0,0,0,variant,2025-07-20 11:00:15.195387,1,1
7042,890,dance,54,37,1,1,0,0,variant,2025-08-11 11:00:15.195387,2,1
9556,1250,gaming,34,19,0,0,0,0,variant,2025-08-06 11:00:15.195387,0,0
6236,1563,sports,59,34,0,0,0,0,variant,2025-07-21 11:00:15.195387,0,0
5487,1148,comedy,25,18,1,0,0,0,control,2025-08-07 11:00:15.195387,1,1
7100,403,gaming,44,32,1,0,0,0,variant,2025-08-08 11:00:15.195387,1,1
9671,939,fashion,13,10,1,0,0,0,variant,2025-07-17 11:00:15.195387,1,1
776,811,comedy,40,25,0,0,0,0,control,2025-07-16 11:00:15.195387,0,0
8227,1059,fashion,17,15,1,0,0,0,variant,2025-08-01 11:00:15.195387,1,1
3153,1261,food,50,37,1,0,0,0,control,2025-07-20 11:00:15.195387,1,1
1586,1492,sports,59,42,0,0,0,0,control,2025-08-02 11:00:15.195387,0,0
3944,499,dance,37,25,1,0,0,0,control,2025-07-29 11:00:15.195387,1,1
7556,512,comedy,30,17,1,0,0,0,variant,2025-07-14 11:00:15.195387,1,1
3074,1847,sports,5,5,1,1,0,0,control,2025-07-14 11:00:15.195387,2,1
1022,317,food,6,3,1,0,0,0,variant,2025-08-12 11:00:15.195387,1,1
3844,303,food,40,21,0,0,0,0,variant,2025-08-05 11:00:15.195387,0,0
7990,1126,gaming,49,30,0,1,0,0,control,2025-08-12 11:00:15.195387,1,1
9693,1613,sports,34,23,0,0,0,0,control,2025-07-19 11:00:15.195387,0,0
6874,1336,dance,20,10,1,0,0,0,control,2025-07-31 11:00:15.195387,1,1
5676,82,fashion,13,7,1,0,0,0,variant,2025-07-16 11:00:15.195387,1,1
162,658,sports,19,10,1,0,0,0,variant,2025-08-10 11:00:15.195387,1,1
4298,193,fashion,43,32,0,0,0,0,variant,2025-07-15 11:00:15.195387,0,0
996,224,gaming,59,43,0,0,0,0,variant,2025-08-12 11:00:15.195387,0,0
7630,53,gaming,26,20,1,0,0,0,control,2025-08-09 11:00:15.195387,1,1
9468,1015,comedy,19,13,0,0,0,0,variant,2025-07-26 11:00:15.195387,0,0
1017,345,gaming,8,8,1,1,0,0,control,2025-08-06 11:00:15.195387,2,1
7870,1109,music,20,17,0,0,0,0,control,2025-08-12 11:00:15.195387,0,0
6440,987,gaming,45,35,1,0,0,0,variant,2025-07-19 11:00:15.195387,1,1
7893,1931,fashion,15,8,1,0,0,0,variant,2025-07-15 11:00:15.195387,1,1
6864,1904,dance,52,36,1,0,0,0,control,2025-08-05 11:00:15.195387,1,1
7917,641,gaming,36,23,0,0,0,0,variant,2025-07-14 11:00:15.195387,0,0
8530,211,comedy,26,19,1,0,0,0,control,2025-07-28 11:00:15.195387,1,1
879,864,fashion,5,1,0,0,0,0,variant,2025-08-08 11:00:15.195387,0,0
9269,776,gaming,58,39,0,0,0,0,control,2025-07-21 11:00:15.195387,0,0
4888,915,sports,30,24,1,0,0,0,variant,2025-07-16 11:00:15.195387,1,1
4860,183,food,7,5,1,0,0,0,variant,2025-08-01 11:00:15.195387,1,1
6332,1296,food,36,24,0,0,0,0,control,2025-08-08 11:00:15.195387,0,0
